removed,reason
oxonium,chemical entity
copper group element atom,chemical entity
nanostructure,chemical entity
trivalent inorganic cation,chemical entity
secondary alcohol,chemical entity
N-acylglucosamine,chemical entity
olefinic compound,chemical entity
metal allergen,chemical entity
thermoset polymer,chemical entity
hydrogenphosphate,chemical entity
nitrohydrocarbon,chemical entity
monocyclic compound,chemical entity
ribonucleoside 5'-triphosphate,chemical entity
acetamides,chemical entity
monoatomic monoanion,chemical entity
ATP,chemical entity
pnictogen oxoanion,chemical entity
dinitrogen,chemical entity
inorganic radical,chemical entity
monoatomic polycation,chemical entity
organic heteromonocyclic compound,chemical entity
mixture,chemical entity
carbon group element atom,chemical entity
polyatomic entity,chemical entity
ketone,chemical entity
argon(.1+),chemical entity
cyclic tetrapyrrole,chemical entity
carboxamide,chemical entity
exchangeable calcium,chemical entity
non-proteinogenic amino acid,chemical entity
organosulfur compound,chemical entity
phorbines,chemical entity
cyclic ketone,chemical entity
xylene,chemical entity
organic aromatic compound,chemical entity
amine,chemical entity
chlorophyllide a(2-),chemical entity
diatomaceous earth,chemical entity
threonine,chemical entity
thallium,chemical entity
anthophyllite asbestos,chemical entity
gruenerite,chemical entity
leucinate,chemical entity
onium cation,chemical entity
silicon oxide,chemical entity
elemental lead,chemical entity
"propane-1,2-diols",chemical entity
elemental carbon,chemical entity
quinolinemonocarboxylate,chemical entity
hydrogencarbonate,chemical entity
divinyl chlorophyll a,chemical entity
sulfur dioxide,chemical entity
copper group molecular entity,chemical entity
helium molecular entity,chemical entity
monoatomic aluminium,chemical entity
sulfuric acid,chemical entity
phosphate ion,chemical entity
silicon atom,chemical entity
silicon oxoanion,chemical entity
alpha-particle,chemical entity
organofluorine compound,chemical entity
glycol,chemical entity
steroid,chemical entity
reactive nitrogen species,chemical entity
ortho-fused polycyclic hydrocarbon,chemical entity
magnesium molecular entity,chemical entity
fluorine molecular entity,chemical entity
soybean oil,chemical entity
helium atom,chemical entity
arsenic molecular entity,chemical entity
polycyclic ether,chemical entity
glycine derivative,chemical entity
ultra-long-chain fatty acid,chemical entity
acrolein,chemical entity
Peptidoglycan(N-acetyl-D-glucosamine),chemical entity
alkaline earth salt,chemical entity
organophosphorus compound,chemical entity
alkali metal molecular entity,chemical entity
polysaccharide derivative,chemical entity
transition element oxoanion,chemical entity
"alpha,beta-unsaturated ketone",chemical entity
chloride salt,chemical entity
proteinogenic amino-acid side-chain group,chemical entity
NADPH,chemical entity
monoatomic fluorine,chemical entity
monoatomic cation,chemical entity
main group element atom,chemical entity
nickel group molecular entity,chemical entity
organic molecule,chemical entity
aluminium(3+),chemical entity
tertiary alcohol,chemical entity
manganese dihydroxide,chemical entity
leucinium,chemical entity
hydrogen molecular entity,chemical entity
carotenoid beta-end derivative,chemical entity
pheophytin,chemical entity
"propane-1,2-diol",chemical entity
triatomic oxygen,chemical entity
metal atom,chemical entity
manganese molecular entity,chemical entity
epoxycarotenol,chemical entity
elemental helium,chemical entity
monoatomic dication,chemical entity
saturated fatty acid anion,chemical entity
nitrite,chemical entity
indoles,chemical entity
carbon group molecular entity,chemical entity
polyester polymer,chemical entity
arsenate(3-),chemical entity
alkyl group,chemical entity
polycyclic compound,chemical entity
alkanesulfonic acid,chemical entity
polyatomic cation,chemical entity
heptane,chemical entity
organic heterotricyclic compound,chemical entity
organonitrogen heterocyclic compound,chemical entity
phosphorus oxoanion,chemical entity
praseodymium atom,chemical entity
oxoacid,chemical entity
ortho-fused compound,chemical entity
elemental uranium,chemical entity
glucan,chemical entity
polysaccharide,chemical entity
pnictogen molecular entity,chemical entity
benzenes,chemical entity
carbopolycyclic compound,chemical entity
silicate ion,chemical entity
aromatic carboxylate,chemical entity
pyridine nucleotide,chemical entity
epoxycarotenoid,chemical entity
peridinin,chemical entity
polyethylene macromolecule,chemical entity
actinolite,chemical entity
trivalent inorganic anion,chemical entity
purine nucleotide,chemical entity
sulfur molecular entity,chemical entity
rare earth metal atom,chemical entity
amphibole asbestos,chemical entity
monosaccharide derivative,chemical entity
acetamide,chemical entity
carotenol,chemical entity
organic anion,chemical entity
nucleotide,chemical entity
vanadium(0),chemical entity
dinucleotide,chemical entity
container of an intermittent water body,container of an intermittent water body
channel of an intermittent river,container of an intermittent water body
turlough,container of an intermittent water body
container of an intermittent saline lake,container of an intermittent water body
intermittent saline evaporation pond,container of an intermittent water body
channel of an intermittent stream,container of an intermittent water body
intermittently filled reservoir,container of an intermittent water body
container of an intermittent lake,container of an intermittent water body
container of an intermittent pond,container of an intermittent water body
icefall,cryoform
sea ice hummock,cryoform
sea ice field,cryoform
cirrus homogenitus cloud,cryoform
ice lens,cryoform
ice calf,cryoform
riverine anchor ice,cryoform
fast ice,cryoform
glacier snout,cryoform
cirrus spissatus cloud,cryoform
glaze ice layer,cryoform
marine iceberg,cryoform
particle of snow,cryoform
brine channel,cryoform
sleet pellet,cryoform
glacier ice field,cryoform
nilas,cryoform
ice cap,cryoform
hail stone,cryoform
land ice mass,cryoform
sea ice mass,cryoform
cirrus uncinus cloud,cryoform
pancake ice,cryoform
grease ice layer,cryoform
floating ice mass,cryoform
water ice layer,cryoform
ice mass,cryoform
ice field,cryoform
drift ice mass,cryoform
cirrocumulus castellanus cloud,cryoform
slush ice layer,cryoform
anchor ice,cryoform
young ice,cryoform
water ice surface layer,cryoform
terrestrial ice calf,cryoform
cirrostratus cloud,cryoform
mass of ice and snow,cryoform
pack ice mass,cryoform
iceberg,cryoform
cirrus cloud,cryoform
sea ice floe,cryoform
fumarole-derived ice tower,cryoform
cirrocumulus cloud,cryoform
freshwater seep riverine anchor ice,cryoform
tabular iceberg,cryoform
cirrus fibratus cloud,cryoform
ice pellet,cryoform
cirrostratus fibratus cloud,cryoform
floating ice calf,cryoform
ice shelf,cryoform
ice floe,cryoform
ice tongue,cryoform
floeberg,cryoform
cryoform,cryoform
cirrus castellanus cloud,cryoform
anchored ice calf,cryoform
water ice core,cryoform
drifting sea ice mass,cryoform
thaw hole,cryoform
cryoconite hole,cryoform
ice cap dome,cryoform
ice cap ridge,cryoform
ice rise,cryoform
ice cap depression,cryoform
university campus,educational facility
educational facility,educational facility
school building,educational facility
fermented cereal beverage,environmental material
copper ore,environmental material
glass,environmental material
soup (eurofir),environmental material
cake icing food product,environmental material
microbial mat material,environmental material
gasoline,environmental material
anthrosol,environmental material
50190000 - prepared/preserved foods (gs1 gpc),environmental material
amniotic fluid material,environmental material
kerogen,environmental material
respirable suspended particulate matter,environmental material
"U.S. code of federal regulations, title 21 food product type",environmental material
sulphate-reducing sediment,environmental material
oil field production water,environmental material
processed pork meat food product,environmental material
bean substance,environmental material
particulate environmental material,environmental material
sugar condiment,environmental material
sandy clay loam,environmental material
ultrafine respirable suspended particulate matter,environmental material
brown sea ice,environmental material
brine,environmental material
cow milk cheese,environmental material
iron-reducing sediment,environmental material
sea sand,environmental material
fecal material,environmental material
cake food product,environmental material
diatomite,environmental material
pigeon pea food product,environmental material
ballast water,environmental material
silty sediment,environmental material
dacite,environmental material
orange food product,environmental material
fine sand,environmental material
refined or partially-refined food product,environmental material
bacon curing brine,environmental material
solanaceous fruit food product,environmental material
bore hole water,environmental material
astrogeological gas,environmental material
cambisol,environmental material
potato salad food product,environmental material
clay dust,environmental material
silica-based glass,environmental material
miscellaneous food product (eurofir),environmental material
Bondon cheese food product,environmental material
natural-based polymer,environmental material
oil,environmental material
freshwater ice,environmental material
sewage,environmental material
beef food product,environmental material
vertisol,environmental material
kerosene oil,environmental material
suspended colloidal sediment,environmental material
millet beer food product,environmental material
self-heating coal mine waste material,environmental material
pig manure,environmental material
siliceous ooze,environmental material
ferralsol,environmental material
"sausage (raw, smoked)",environmental material
manure,environmental material
vanadium fume,environmental material
fish product (unspecified species),environmental material
vegetable juice food product,environmental material
cheddar cheese food product,environmental material
histosol,environmental material
apple food product,environmental material
gleysol,environmental material
anaerobic mud,environmental material
thatch,environmental material
gill tissue material,environmental material
hen egg food product,environmental material
solid environmental material,environmental material
new zealand cheddar cheese food product,environmental material
fermented pomaceous fruit beverage,environmental material
pork cured meat food product,environmental material
slush ice,environmental material
enriched soil,environmental material
flour food product,environmental material
cattle cured meat food product,environmental material
hydraulic cement,environmental material
garden soil,environmental material
agricultural potting mixture,environmental material
concrete,environmental material
non alcoholic beverage (eurofir),environmental material
radioactive material,environmental material
sulfrous kerogen,environmental material
stagnosol,environmental material
hydrocarbon-based environmental material,environmental material
tuff,environmental material
arsenate treated wood,environmental material
bovine meat food product,environmental material
frazil,environmental material
alluvial sediment,environmental material
beer wort food product,environmental material
aerosol,environmental material
egg food product,environmental material
kefir food product,environmental material
sandy sediment,environmental material
plant food product,environmental material
bread food product,environmental material
colloid suspended in a hydrosphere,environmental material
bee food product,environmental material
compressed natural gas,environmental material
bovine cheese food product,environmental material
hoarfrost,environmental material
slate,environmental material
prepared hen egg product,environmental material
testosterone enriched soil,environmental material
root matter,environmental material
grass silage,environmental material
gold ore,environmental material
nonfermented plant derived beverage product,environmental material
coal mine lake sediment,environmental material
"1,4-dioxane contaminated sludge",environmental material
brassica food product,environmental material
anaerobic sediment,environmental material
grape extract,environmental material
mist,environmental material
plastic-frozen soil,environmental material
threonine enriched soil,environmental material
silty clay,environmental material
field soil,environmental material
animal feed,environmental material
fermented sugar cane beverage,environmental material
epipsammon,environmental material
stagnant water,environmental material
pickled cruciferous food product,environmental material
rye grass silage,environmental material
methane clathrate,environmental material
epiphyton,environmental material
melon fruit food product,environmental material
carbon dioxide emission,environmental material
paraffin oil,environmental material
food (dehydrated),environmental material
"jack bean (whole, dried)",environmental material
abyssal clay,environmental material
smoke,environmental material
oxic water,environmental material
forage material,environmental material
permafrost congelation ice,environmental material
frozen compost soil,environmental material
contaminated sludge,environmental material
dry bean food product,environmental material
drilling bore water,environmental material
muddy soil,environmental material
milk or milk based food product,environmental material
cerebrospinal fluid material,environmental material
mustard seed food product,environmental material
boulder sediment,environmental material
silica dust,environmental material
water ice crystal,environmental material
pasture soil,environmental material
synovial fluid material,environmental material
lichen material,environmental material
potato silage,environmental material
pickled cabbage food product,environmental material
colorant fluid,environmental material
eurofir food classification,environmental material
processed food product,environmental material
clam food product,environmental material
talc dust,environmental material
vegetable garden soil,environmental material
muddy water,environmental material
condiment food product,environmental material
cement dust,environmental material
durisol,environmental material
tomato juice food product,environmental material
planosol,environmental material
chyle material,environmental material
pastry food product,environmental material
buttermilk food product,environmental material
soy ink,environmental material
fluid environmental material,environmental material
acidic soil,environmental material
gorgonzola cheese food product,environmental material
fermenting elaeis palm sap food product,environmental material
nesting material,environmental material
rocky sand,environmental material
apple vinegar food product,environmental material
soybean food product,environmental material
fruit juice food product,environmental material
organ meat product,environmental material
nut food product,environmental material
rubber cement,environmental material
emmenthal cheese food product,environmental material
skatole enriched soil,environmental material
citrus fruit juice,environmental material
hypoxic water,environmental material
bedrock,environmental material
beech forest soil,environmental material
umbrisol,environmental material
compacted soil,environmental material
alluvium,environmental material
sheep milk cheese food product,environmental material
loamy sand,environmental material
waste water,environmental material
tropical soil,environmental material
foamy environmental material,environmental material
hot chocolate food product,environmental material
forest soil,environmental material
poultry litter,environmental material
02  vegetables (ccpr),environmental material
soy sauce food product,environmental material
dried milk food product,environmental material
mineral dust,environmental material
winged bean food product,environmental material
granite,environmental material
plant derived fermented beverage,environmental material
tape kefan food product,environmental material
cacao food product,environmental material
chickpea food product,environmental material
awamori food product,environmental material
sausage (smoked),environmental material
fermented grain beverage,environmental material
limed soil,environmental material
international agency food product type,environmental material
compost soil,environmental material
bare soil,environmental material
saprolite,environmental material
particulate organic carbon,environmental material
paddy field soil,environmental material
grape must,environmental material
raw primary sludge,environmental material
first year ice,environmental material
sour milk beverage,environmental material
regosol,environmental material
plasma,environmental material
fermented elaeis palm beverage,environmental material
neve,environmental material
quinate enriched soil,environmental material
hydrothermally-influenced sediment,environmental material
pecorino cheese,environmental material
light fraction material,environmental material
frazil ice,environmental material
wheat food product,environmental material
sediment permeated by saline water,environmental material
grassland soil,environmental material
flame,environmental material
alluvial swamp soil,environmental material
dry soil,environmental material
fruit jelly (us cfr),environmental material
hyperthermophilic sediment,environmental material
015  pulses (vd) (ccpr),environmental material
liver paste,environmental material
urban stormwater,environmental material
brick material,environmental material
autoclaved sand,environmental material
surface hoar,environmental material
marine snow,environmental material
food product by process,environmental material
animal food product,environmental material
goat milk cheese food product,environmental material
leachate,environmental material
compressed biogas,environmental material
charcoal,environmental material
waste material,environmental material
food (dried),environmental material
red clay,environmental material
organic waste material,environmental material
velvet bean (whole),environmental material
unpasteurized camel milk beverage,environmental material
liver food product,environmental material
gypsum,environmental material
fuel oil,environmental material
margarine (us cfr),environmental material
bovine dairy liquid manure,environmental material
fresh water,environmental material
seed oil,environmental material
chemically contaminated sediment,environmental material
fibrous dust,environmental material
goat milk cheese (unpasteurized),environmental material
natural cheese (us cfr),environmental material
crustal fluid,environmental material
deep marine sediment,environmental material
fermented agave beverage,environmental material
lava,environmental material
quinoa food product,environmental material
hair ice,environmental material
leguminous vegetable food product,environmental material
alkaline water,environmental material
volatile astrogeological material,environmental material
stable manure,environmental material
adobe,environmental material
spring water,environmental material
organic material,environmental material
fruit or vegetable product (us cfr),environmental material
paraffin wax,environmental material
waterborne particulate matter,environmental material
snow crystal,environmental material
fibrous glass dust,environmental material
food (pickled),environmental material
camelid dairy food product,environmental material
coal mine waste material,environmental material
cryosol,environmental material
natural plastic,environmental material
food product by meal type,environmental material
agricultural environmental material,environmental material
igneous rock,environmental material
silty loam,environmental material
mine tailing,environmental material
agricultural soil,environmental material
sugar (refined),environmental material
pathogen-suppressive soil,environmental material
soda-lime glass,environmental material
agave food product,environmental material
hypersaline water,environmental material
sludge,environmental material
cow milk based food product,environmental material
commercial yogurt,environmental material
radioactive sediment,environmental material
lixisol,environmental material
animal-derived food,environmental material
straw,environmental material
scum,environmental material
aqueous humour material,environmental material
residual water in soil,environmental material
salt material,environmental material
blood plasma material,environmental material
astrogeological ice,environmental material
clay sediment,environmental material
cork,environmental material
kaolin dust,environmental material
caprine cheese food product,environmental material
jack-bean food product,environmental material
contaminated soil,environmental material
edible seed food product,environmental material
detritus,environmental material
coffee beverage,environmental material
refined asphalt,environmental material
bovine dairy food product,environmental material
coke,environmental material
microbialite,environmental material
sausage food product,environmental material
particulate organic matter,environmental material
food product,environmental material
salad dressing,environmental material
mammalian milk beverage,environmental material
sake food product,environmental material
pigeon pea (whole),environmental material
plant fruit as vegetable food product,environmental material
resin,environmental material
savanna soil,environmental material
fresh animal manure,environmental material
xylene contaminated soil,environmental material
beverage (non-milk) (eurofir),environmental material
tap water,environmental material
hoar,environmental material
plant stem food product,environmental material
pomaceous fruit food product,environmental material
clay soil,environmental material
permanent hair dye,environmental material
non-hydraulic cement,environmental material
sweetener food product,environmental material
planktonic kerogen,environmental material
beverage food product,environmental material
sea water fish food product,environmental material
anoxic water,environmental material
heavy fraction material,environmental material
scoria,environmental material
volcanic ash,environmental material
mammalian milk product,environmental material
rock dust,environmental material
bluegrass field soil,environmental material
silty clay loam,environmental material
natural gas,environmental material
animal litter,environmental material
gravel,environmental material
air,environmental material
cobble sediment,environmental material
oil-based paint,environmental material
agricultural waste material,environmental material
camelid milk beverage,environmental material
lawn soil,environmental material
cantaloupe fruit food product,environmental material
fermented fish or seafood food product,environmental material
poultry deep litter,environmental material
limestone,environmental material
ear wax material,environmental material
fermented fruit food product,environmental material
treated wastewater,environmental material
pigeon pea vegetable food product,environmental material
dairy food product,environmental material
bambara groundnut food product,environmental material
epixylon,environmental material
equine milk beverage,environmental material
cruciferous food product,environmental material
plant-based candy,environmental material
fermented bean product,environmental material
ice cream food product,environmental material
mate food product,environmental material
ash,environmental material
botanical fruit food product,environmental material
plant stem or spear vegetable food product,environmental material
upland soil,environmental material
bean (whole),environmental material
grain based vinegar food product,environmental material
primer (paint),environmental material
herbal infusion,environmental material
outer space,environmental material
friable-frozen soil,environmental material
honey food product,environmental material
camembert cheese food product,environmental material
amorphous solid,environmental material
sea ice,environmental material
carbon dioxide-reducing sediment,environmental material
blue cheese food product,environmental material
distilled fermented grain beverage,environmental material
honey blend table syrup,environmental material
hyacinth bean food product,environmental material
time crystal,environmental material
vetch food product,environmental material
lime plaster,environmental material
amasake food product,environmental material
butter product analog (us cfr),environmental material
tomato food product,environmental material
aerosolised liquids,environmental material
melon food product,environmental material
mudstone,environmental material
methane ice,environmental material
"fruit butter, jelly, preserve or related product (us cfr)",environmental material
intermediate lava,environmental material
flue gas desulfurization material,environmental material
bone meal,environmental material
sand,environmental material
uranium ore,environmental material
citrullus lanatus fruit food product,environmental material
algal food product,environmental material
anaerobic digester sludge,environmental material
rime,environmental material
recalcitrant kerogen,environmental material
red soil,environmental material
tear material,environmental material
contaminated water,environmental material
poly-beta-hydroxybutyrate enriched soil,environmental material
barium dust,environmental material
congelation sea ice,environmental material
avian egg food product,environmental material
flat glass,environmental material
food flavoring or seasoning product,environmental material
particulate organic nitrogen,environmental material
zebra milk beverage,environmental material
contaminated animal feed,environmental material
petroleum,environmental material
leafy wood soil,environmental material
liquefied natural gas,environmental material
suspended sediment,environmental material
bulk soil,environmental material
peat soil,environmental material
saline water,environmental material
fine respirable suspended particulate matter,environmental material
chalk soil,environmental material
fruit salad food product,environmental material
milk or milk product analog (us cfr),environmental material
metallic dust,environmental material
pliofilm,environmental material
acidic volcanic ash,environmental material
metallic material,environmental material
GS1 Global Product Classification (GPC),environmental material
marine sediment,environmental material
peaty paddy field soil,environmental material
aviation fuel,environmental material
poultry meat food product,environmental material
tragacanth,environmental material
apple juice,environmental material
oat food product,environmental material
sausage (raw),environmental material
equine dairy food product,environmental material
biosolids,environmental material
lake bottom mud,environmental material
fudge (us cfr),environmental material
wood,environmental material
pasta food product,environmental material
vegetable pickle food product,environmental material
solanaceous food product,environmental material
animal derived beverage,environmental material
leptosol,environmental material
fruit extract food product,environmental material
vinaigrette dressing food product,environmental material
dairy dessert food product,environmental material
permafrost,environmental material
L-(+)-tartrate enriched soil,environmental material
vog,environmental material
formation fluid,environmental material
food dressing product,environmental material
meshanger cheese food product,environmental material
urea enriched soil,environmental material
greenhouse soil,environmental material
biofilm material,environmental material
humus-rich acidic ash soil,environmental material
anthropogenic environmental material,environmental material
tea beverage (liquid),environmental material
excreta material,environmental material
polymetallic nodule,environmental material
mock community culture,environmental material
seafood or related product (eurofir),environmental material
fermented beverage,environmental material
bottom ash,environmental material
bituminous sand,environmental material
anaerobic stream sediment,environmental material
soft candy (us cfr),environmental material
juice beverage,environmental material
pond soil,environmental material
vegetable fat or oil,environmental material
bitumous coal,environmental material
fly ash,environmental material
slightly saline water,environmental material
zinc chloride fume,environmental material
miso food product,environmental material
vegetable fat food product,environmental material
quicksand,environmental material
steppe soil,environmental material
cocoa food product,environmental material
dry pea food product,environmental material
cultured dairy product,environmental material
"broad bean (whole, dried)",environmental material
hydrocarbon flame,environmental material
humic kerogen,environmental material
candy food product,environmental material
plant derived beverage,environmental material
sarcosine enriched soil,environmental material
oil contaminated soil,environmental material
travertine,environmental material
frost,environmental material
sea water fish egg food product,environmental material
vomit material,environmental material
anaerobic sludge,environmental material
spice or herb,environmental material
diesel fuel,environmental material
hay compost,environmental material
aqueous inkjet printer ink,environmental material
rainwater,environmental material
frozen dairy dessert,environmental material
gaseous environmental material,environmental material
shallow marine sediment,environmental material
sebum material,environmental material
mesotrophic water,environmental material
anthracite,environmental material
chicken manure,environmental material
wine or wine-like food product,environmental material
hypereutrophic water,environmental material
hydrogel,environmental material
rice food product,environmental material
mineral material,environmental material
wood ash,environmental material
albeluvisol,environmental material
erosionally enriched glacial ice,environmental material
food (liquid),environmental material
sandstone,environmental material
chocolate food product,environmental material
confectionery (us cfr),environmental material
secondhand smoke,environmental material
shellfish food product,environmental material
interstitial water,environmental material
welding fume,environmental material
sugar,environmental material
highly saline water,environmental material
composted animal manure,environmental material
silt,environmental material
food product component,environmental material
mustard food product,environmental material
surface soil,environmental material
litter,environmental material
lead solder,environmental material
chloropicrin enriched soil,environmental material
solonetz,environmental material
processed meat food product,environmental material
mussel gill tissue material,environmental material
"food (liquid, low viscosity)",environmental material
"mammalian milk (nonfat, dry)",environmental material
tea based beverage product,environmental material
burned soil,environmental material
barley malt vinegar,environmental material
aluminum welding fume,environmental material
kynurenate enriched soil,environmental material
ice cave congelation ice,environmental material
organically enriched sediment,environmental material
platinum ore,environmental material
chyme material,environmental material
wax,environmental material
50220000 - cereal/grain/pulse products (gs1 gpc),environmental material
silage,environmental material
nitrate-reducing sediment,environmental material
plutonic rock,environmental material
treated wood,environmental material
moderately saline water,environmental material
plant product dressing,environmental material
phaeozem,environmental material
water ice,environmental material
lignite,environmental material
single strain cell culture,environmental material
volcanic soil,environmental material
food product by quality,environmental material
pork chop food product,environmental material
toxic waste,environmental material
marine sludge,environmental material
plant lipid food product,environmental material
fruit or fruit product (us cfr),environmental material
groundwater,environmental material
mylar,environmental material
lupine bean food product,environmental material
yogurt food product,environmental material
colloidal sediment,environmental material
paint,environmental material
plant based salad food product,environmental material
chromate contaminated soil,environmental material
freshwater congelation ice,environmental material
masonry cement,environmental material
sediment,environmental material
multi-component honey product,environmental material
acrisol,environmental material
chalk,environmental material
nitrobenzene enriched sediment,environmental material
cowpea vegetable food product,environmental material
barley food product,environmental material
ethanol enriched soil,environmental material
processed cheese food product,environmental material
frozen soil,environmental material
sweat material,environmental material
wheat flour food product,environmental material
diesel exhaust,environmental material
bodily fluid material,environmental material
orange juice,environmental material
apple condiment,environmental material
bottled beer food product,environmental material
oligotrophic water,environmental material
thermophilic granular sludge,environmental material
ice,environmental material
biogenous sediment,environmental material
sugar (granulated),environmental material
biochar,environmental material
confectionery food product,environmental material
"carbohydrate extract, concentrate, or isolate",environmental material
solid waste material,environmental material
second year ice,environmental material
citrus fruit food product,environmental material
dust,environmental material
emissions from petroleum combustion,environmental material
roadside soil,environmental material
paraffin wax fume,environmental material
clay loam,environmental material
meltwater,environmental material
potato food product,environmental material
volume of cyanoacrylate,environmental material
distilled water,environmental material
emulsion,environmental material
tephra,environmental material
plant fat or oil refined food product,environmental material
Brie cheese food product,environmental material
solonchak,environmental material
cis-dichloroethane contaminated sediment,environmental material
high-level radioactive sediment,environmental material
coal dust,environmental material
fermenting sugar cane juice,environmental material
seafood product (eurofir),environmental material
acidic water,environmental material
xanthan gum,environmental material
eucalyptus forest soil,environmental material
fermented dairy food product,environmental material
plant litter,environmental material
container glass,environmental material
arenosol,environmental material
vetch seed (whole),environmental material
saliva material,environmental material
lake sediment,environmental material
cheese or cheese product (us cfr),environmental material
broad bean (whole),environmental material
brackish water,environmental material
insect food product,environmental material
pulp-bleaching waste water,environmental material
water-body-derived ice,environmental material
"pigeon pea (whole, dried)",environmental material
cruciferous inflorescence food product,environmental material
volcanic rock,environmental material
carbon nanotube enriched soil,environmental material
pleural effusion material,environmental material
food material,environmental material
environmental material,environmental material
gasoline exhaust,environmental material
carbon monoxide ice,environmental material
chemically enriched sediment,environmental material
humus,environmental material
prepared food product (eurofir),environmental material
fertilized soil,environmental material
vegetable oil food product,environmental material
ammonia ice,environmental material
lime mudstone,environmental material
beer beverage,environmental material
milk or milk product (us cfr),environmental material
fermented rice beverage,environmental material
claystone,environmental material
heat stressed soil,environmental material
surface water,environmental material
salt contaminated soil,environmental material
animal seafood product,environmental material
breast milk material,environmental material
tempeh food product,environmental material
cosmogenous sediment,environmental material
industrial waste material,environmental material
plant sweetener,environmental material
zebra dairy food product,environmental material
smog,environmental material
chicken meat food product,environmental material
labile kerogen,environmental material
mayonnaise food product,environmental material
pus material,environmental material
yam bean food product,environmental material
mud,environmental material
liquefied hydrocarbon gas,environmental material
compost,environmental material
humid air,environmental material
acid dune sand,environmental material
slab snow,environmental material
iron ore,environmental material
marl,environmental material
cabbage juice food product,environmental material
podzol,environmental material
salicylate enriched soil,environmental material
kastanozem,environmental material
ornithogenic soil,environmental material
methyl cellulose paste,environmental material
soft cheese food product,environmental material
clay,environmental material
shale,environmental material
slate dust,environmental material
plant inflorescence food product,environmental material
fermented soybean food product,environmental material
quartz glass,environmental material
cellophane,environmental material
ice fog,environmental material
"bean (whole, dried)",environmental material
meat (whole or parts),environmental material
biological waste material,environmental material
technosol,environmental material
ultramafic lava,environmental material
metal contaminated soil,environmental material
felsic lava,environmental material
graupel,environmental material
corn flour food product,environmental material
mollusc food product,environmental material
fluvisol,environmental material
non-lead solder,environmental material
gypsum plaster,environmental material
plinthosol,environmental material
plant fruit food product,environmental material
orange fruit beverage,environmental material
acifified beer wort food product,environmental material
avian food product,environmental material
particulate matter in a hydrosphere,environmental material
creamy salad dressing,environmental material
animal lipid food product,environmental material
household waste material,environmental material
pebble sediment,environmental material
solder,environmental material
pork meat food product,environmental material
"sausage (dried, fermented)",environmental material
sausage (cooked),environmental material
mammalian milk whey,environmental material
agency food product type,environmental material
luminescent paint,environmental material
allotment garden soil,environmental material
shuga,environmental material
scree,environmental material
bitter cheese food product,environmental material
blue ice,environmental material
hot dog,environmental material
gel ink,environmental material
stream sediment,environmental material
wort food product,environmental material
mushroom compost,environmental material
jungle soil,environmental material
frost-susceptible soil,environmental material
"sausage (cooked, smoked)",environmental material
lipid food product,environmental material
camel milk beverage,environmental material
rural stormwater,environmental material
underground water,environmental material
shellac,environmental material
broad bean food product,environmental material
hydrogenous sediment,environmental material
runoff,environmental material
cotton dust,environmental material
atmospheric water vapour,environmental material
sodium chloride salt,environmental material
thermoplastic material,environmental material
cured meat food product,environmental material
meadow soil,environmental material
multi-component wheat food product,environmental material
activated sludge,environmental material
carbon dioxide ice,environmental material
interstitial fluid material,environmental material
naphthalene enriched sediment,environmental material
erosionally enriched ice,environmental material
residual kerogen,environmental material
pomaceous fruit extract,environmental material
custard dessert food product,environmental material
colloidal suspension,environmental material
mountain forest soil,environmental material
epilithon,environmental material
ovine cheese food product,environmental material
plant based bakery food product,environmental material
duck meat food product,environmental material
cereal grain food product,environmental material
boiler slag,environmental material
basalt,environmental material
fissure water,environmental material
bean (cooked),environmental material
gel,environmental material
brown sugar,environmental material
fume,environmental material
pulse food product,environmental material
citrus fruit extract food product,environmental material
flaxseed food product,environmental material
"vetch seed (whole, dried)",environmental material
oil shale,environmental material
trimethylamine enriched soil,environmental material
coal ash,environmental material
snow,environmental material
eutrophic water,environmental material
soot,environmental material
bagasse,environmental material
aerosolised solids,environmental material
poultry food product,environmental material
bile material,environmental material
lymph material,environmental material
bacon food product,environmental material
wood dust,environmental material
saline lake sediment,environmental material
dust from plant parts,environmental material
desert sand,environmental material
alisol,environmental material
siltstone,environmental material
frozen dairy food product,environmental material
pea food product,environmental material
plant seed vegetable food product,environmental material
calcisol,environmental material
beach sand,environmental material
dacitic lava,environmental material
orange juice (unpasteurized),environmental material
vegetable food product,environmental material
fermented millet food product,environmental material
manured soil,environmental material
a.  primary food commodities of plant origin (ccpr),environmental material
fish food product,environmental material
sandy loam,environmental material
orchid soil,environmental material
animal manure,environmental material
oronasal secretion material,environmental material
Bathymodiolus gill tissue material,environmental material
millet food product,environmental material
plant root food product,environmental material
sub-bitumous coal,environmental material
50192900 - pasta/noodles  (gs1 gpc),environmental material
firn,environmental material
fish egg food product,environmental material
lead paint,environmental material
sedimentary rock,environmental material
sugar product,environmental material
metamorphic rock,environmental material
sapropelic kerogen,environmental material
andesite,environmental material
fossil material,environmental material
refractory astrogeological material,environmental material
aluminium dust,environmental material
methane-laden permafrost,environmental material
buckewheat food product,environmental material
barley flour food product,environmental material
multiyear ice,environmental material
ceramic,environmental material
dairy product (us cfr),environmental material
gypsisol,environmental material
freezing fog,environmental material
common bean food product,environmental material
sorghum food product,environmental material
cheese food product,environmental material
sawah soil,environmental material
rock,environmental material
chernozem,environmental material
contaminated air,environmental material
berry food product,environmental material
